resource_key,american_english
register_msg_049,Void / reversal queued; receipt reprint suppressed until complete.
register_msg_050,Tender identifier missing — capture auth code before continuing.
register_msg_051,OMS sync delayed; operations may lag up to 2 minutes.
register_msg_052,Loyalty opt-in checkbox must be acknowledged before Checkout.
register_msg_053,Retail store hours override active — extended pickup window.
register_msg_054,WMS shortage: shipment line moved to backlog status.
register_msg_055,Tender declined — authorize card or choose another tender type.
register_msg_056,Paid in recorded; new drawer float updated.
register_msg_057,Paid out requires manager override for amounts over 8.
register_msg_058,No sale: drawer opened — reason code required.
register_msg_059,Overpayment 10 will post as gift card voucher balance.
register_msg_060,Redemption capped: voucher balance insufficient for tender amount.
register_msg_061,Scan item or enter SKU; press Search to locate parent style.
register_msg_062,Pickup order 13 ready for customer — confirm ID before release.
register_msg_063,Scope filter active: excluded rows hidden for this workstation.
register_msg_064,Discount requires eligible tender; split tender not allowed.
register_msg_065,Breakdown unavailable until tax jurisdictions finish loading.
register_msg_066,"Counts reflect events, not totals — reconcile in back office."
register_msg_067,Void / reversal queued; receipt reprint suppressed until complete.
register_msg_068,Tender identifier missing — capture auth code before continuing.
register_msg_069,OMS sync delayed; operations may lag up to 20 minutes.
register_msg_070,Loyalty opt-in checkbox must be acknowledged before Checkout.
register_msg_071,Retail store hours override active — extended pickup window.
register_msg_072,WMS shortage: shipment line moved to backlog status.
register_msg_073,Tender declined — authorize card or choose another tender type.
register_msg_074,Paid in recorded; new drawer float updated.
register_msg_075,Paid out requires manager override for amounts over 26.
register_msg_076,No sale: drawer opened — reason code required.
register_msg_077,Overpayment 28 will post as gift card voucher balance.
register_msg_078,Redemption capped: voucher balance insufficient for tender amount.
register_msg_079,Scan item or enter SKU; press Search to locate parent style.
register_msg_080,Pickup order 31 ready for customer — confirm ID before release.
register_msg_081,Scope filter active: excluded rows hidden for this workstation.
register_msg_082,Discount requires eligible tender; split tender not allowed.
register_msg_083,Breakdown unavailable until tax jurisdictions finish loading.
register_msg_084,"Counts reflect events, not totals — reconcile in back office."
register_msg_085,Void / reversal queued; receipt reprint suppressed until complete.
register_msg_086,Tender identifier missing — capture auth code before continuing.
register_msg_087,OMS sync delayed; operations may lag up to 38 minutes.
register_msg_088,Loyalty opt-in checkbox must be acknowledged before Checkout.
register_msg_089,Retail store hours override active — extended pickup window.
register_msg_090,WMS shortage: shipment line moved to backlog status.
register_msg_091,Tender declined — authorize card or choose another tender type.
register_msg_092,Paid in recorded; new drawer float updated.
register_msg_093,Paid out requires manager override for amounts over 44.
register_msg_094,No sale: drawer opened — reason code required.
register_msg_095,Overpayment 46 will post as gift card voucher balance.
register_msg_096,Redemption capped: voucher balance insufficient for tender amount.
register_msg_097,Scan item or enter SKU; press Search to locate parent style.
register_msg_098,Pickup order 49 ready for customer — confirm ID before release.
register_msg_099,Scope filter active: excluded rows hidden for this workstation.
register_msg_100,Discount requires eligible tender; split tender not allowed.
register_msg_101,Breakdown unavailable until tax jurisdictions finish loading.
register_msg_102,"Counts reflect events, not totals — reconcile in back office."
register_msg_103,Void / reversal queued; receipt reprint suppressed until complete.
register_msg_104,Tender identifier missing — capture auth code before continuing.
register_msg_105,OMS sync delayed; operations may lag up to 6 minutes.
register_msg_106,Loyalty opt-in checkbox must be acknowledged before Checkout.
register_msg_107,Retail store hours override active — extended pickup window.
register_msg_108,WMS shortage: shipment line moved to backlog status.
register_msg_109,Tender declined — authorize card or choose another tender type.
register_msg_110,Paid in recorded; new drawer float updated.
register_msg_111,Paid out requires manager override for amounts over 12.
register_msg_112,No sale: drawer opened — reason code required.
register_msg_113,Overpayment 14 will post as gift card voucher balance.
register_msg_114,Redemption capped: voucher balance insufficient for tender amount.
register_msg_115,Scan item or enter SKU; press Search to locate parent style.
register_msg_116,Pickup order 17 ready for customer — confirm ID before release.
register_msg_117,Scope filter active: excluded rows hidden for this workstation.
register_msg_118,Discount requires eligible tender; split tender not allowed.
register_msg_119,Breakdown unavailable until tax jurisdictions finish loading.
register_msg_120,"Counts reflect events, not totals — reconcile in back office."
register_msg_121,Void / reversal queued; receipt reprint suppressed until complete.
register_msg_122,Tender identifier missing — capture auth code before continuing.
register_msg_123,OMS sync delayed; operations may lag up to 24 minutes.
